CODIGO;NOME;LOJA;NOME_FANTASIA;ESTOQUE ATUAL;VCTO_MEDIO;VENDA MEDIA
1253;TORRADA NATURAL KG;TRESMANN - STT;TRESMANN - SMJ;-6.172;0.0;4.648291666666667
1253;TORRADA NATURAL KG;TRESMANN - SMJ;TRESMANN - SMJ;-103.192;0.0;10.25375
1253;TORRADA NATURAL KG;TRESMANN - VIX;TRESMANN - SMJ;0.0;0.0;0.0
1270;PAO DOCE KG;TRESMANN - SMJ;SEGREDOS DO TRIGO;6.0;57.6;0.9372916666666667
1270;PAO DOCE KG;TRESMANN - STT;SEGREDOS DO TRIGO;14.064;57.8;6.994916666666667
1349;TORTA GRATINADA FRANGO KG;TRESMANN - SMJ;TRESMANN - SMJ;0.258;0.0;0.3695833333333333
1349;TORTA GRATINADA FRANGO KG;TRESMANN - STT;TRESMANN - SMJ;0.0;0.0;0.0
1455;TENDER SEARA FIESTA BOLINHA KG;TRESMANN - STT;SEARA;6.14;134.67;0.25666666666666665
1455;TENDER SEARA FIESTA BOLINHA KG;TRESMANN - SMJ;SEARA;3.93;114.0;0.3408333333333333
1455;TENDER SEARA FIESTA BOLINHA KG;TRESMANN - VIX;SEARA;13.864;131.33;0.4285833333333333
1475;LINGUICA FRISA FRG KG;TRESMANN - SMJ;FRISA;147.826;125.6;64.75595833333334
1475;LINGUICA FRISA FRG KG;TRESMANN - STT;FRISA;69.552;141.0;111.020375
1526;QUEIJO VENEZA MUSSARELA C/PIMENTA CALABRESA KG;TRESMANN - STT;VENEZA;3.914;58.6;4.765291666666666
1526;QUEIJO VENEZA MUSSARELA C/PIMENTA CALABRESA KG;TRESMANN - SMJ;VENEZA;3.79;57.6;1.6444166666666666
1526;QUEIJO VENEZA MUSSARELA C/PIMENTA CALABRESA KG;TRESMANN - VIX;VENEZA;5.366;59.0;3.1494166666666663
1878;TESTE;TRESMANN - SMJ;COTACAO - LEITE PO;0.0;0.0;0.0
1878;TESTE;TRESMANN - STT;;0.0;0.0;0.0
1878;TESTE;TRESMANN - VIX;;0.0;0.0;0.0
10033;ACUCAR CRISTAL PAINEIRAS 15X2KG;TRESMANN - STT;USINA PAINEIRAS;4.0;556.2;102.70833333333334
10033;ACUCAR CRISTAL PAINEIRAS 15X2KG;TRESMANN - SMJ;USINA PAINEIRAS;281.0;721.2;92.29166666666667
10033;ACUCAR CRISTAL PAINEIRAS 15X2KG;TRESMANN - VIX;USINA PAINEIRAS;37.0;637.6;18.5
10034;ACUCAR CRISTAL PAINEIRAS 6X5KG;TRESMANN - SMJ;USINA PAINEIRAS;494.0;724.8;178.95833333333331
10034;ACUCAR CRISTAL PAINEIRAS 6X5KG;TRESMANN - STT;USINA PAINEIRAS;127.0;651.0;205.66666666666669
10034;ACUCAR CRISTAL PAINEIRAS 6X5KG;TRESMANN - VIX;USINA PAINEIRAS;12.0;676.2;2.833333333333333
10035;ACUCAR CRISTAL SANTA ISABEL 10X2KG;TRESMANN - SMJ;USINA SANTA ISABEL LTDA;4.0;728.0;135.83333333333331
10035;ACUCAR CRISTAL SANTA ISABEL 10X2KG;TRESMANN - VIX;USINA SANTA ISABEL LTDA;47.0;652.0;31.416666666666668
10035;ACUCAR CRISTAL SANTA ISABEL 10X2KG;TRESMANN - STT;USINA SANTA ISABEL LTDA;5.0;682.4;213.91666666666669
