CODIGO;NOME;LOJA;ESTOQUE ATUAL;VCTO_MEDIO;VENDA MEDIA
1052;NFE - CARNE BOV FRALDINHA (T) KG;TRESMANN - SMJ;0.0;54.4;0.0
1053;CARNE BOV CAPA DE FILE (T) KG;TRESMANN - STT;0.0;0.0;159.14612499999998
1053;CARNE BOV CAPA DE FILE (T) KG;TRESMANN - SMJ;0.0;56.0;13.093875
1054;CARNE BOV MAMINHA DA ALCATRA (T) KG;TRESMANN - SMJ;0.0;55.0;11.738166666666666
1054;CARNE BOV MAMINHA DA ALCATRA (T) KG;TRESMANN - STT;0.0;0.0;27.509833333333333
1055;CARNE BOV CAPA DO CHA DENTRO (T) KG;TRESMANN - STT;0.0;0.0;7.1375
1055;CARNE BOV CAPA DO CHA DENTRO (T) KG;TRESMANN - SMJ;0.0;0.0;5.405666666666667
1067;QUEIJO BIMBO MUSSARELA (*) KG;TRESMANN - STT;70.0;111.4;30.8345
1067;QUEIJO BIMBO MUSSARELA (*) KG;TRESMANN - SMJ;0.0;108.6;9.0285
1071;QUEIJO BOM DESTINO BUFALA BOLA CEREJA POTE 250GR;TRESMANN - VIX;2.0;46.6;17.375
1093;QUEIJO PUREZA MUSSARELA (*) KG;TRESMANN - SMJ;0.0;148.6;2.2411666666666665
1095;CREME RICOTA BIMBO 24X200GR;TRESMANN - SMJ;2.0;78.8;15.0
1095;CREME RICOTA BIMBO 24X200GR;TRESMANN - VIX;5.0;103.2;51.54166666666667
1095;CREME RICOTA BIMBO 24X200GR;TRESMANN - STT;37.0;93.2;40.29166666666667
1250;PAO FRANCES KG;TRESMANN - SMJ;406.758;58.8;400.4832916666667
1250;PAO FRANCES KG;TRESMANN - VIX;764.508;58.2;498.9352083333333
1250;PAO FRANCES KG;TRESMANN - STT;524.763;59.6;564.0634166666666
1251;PAO FRANCES INTEGRAL KG;TRESMANN - STT;20.119;50.8;22.678708333333333
1251;PAO FRANCES INTEGRAL KG;TRESMANN - SMJ;21.287;50.6;6.8152083333333335
1251;PAO FRANCES INTEGRAL KG;TRESMANN - VIX;131.6;54.8;46.39395833333333
1253;TORRADA NATURAL KG;TRESMANN - SMJ;-85.022;0.0;6.030500000000001
1253;TORRADA NATURAL KG;TRESMANN - STT;-7.762;0.0;3.699375
1253;TORRADA NATURAL KG;TRESMANN - VIX;0.0;0.0;0.0
1270;PAO DOCE KG;TRESMANN - SMJ;6.0;57.6;0.9709583333333334
1270;PAO DOCE KG;TRESMANN - STT;4.086;55.6;8.344166666666666
1349;TORTA GRATINADA FRANGO KG;TRESMANN - SMJ;0.258;0.0;0.4175
1349;TORTA GRATINADA FRANGO KG;TRESMANN - STT;0.0;0.0;0.0
1455;TENDER SEARA FIESTA BOLINHA KG;TRESMANN - STT;7.146;134.67;0.2589166666666667
1455;TENDER SEARA FIESTA BOLINHA KG;TRESMANN - SMJ;3.93;114.0;1.5030000000000001
1455;TENDER SEARA FIESTA BOLINHA KG;TRESMANN - VIX;13.864;131.33;0.4285833333333333
1475;LINGUICA FRISA FRG KG;TRESMANN - SMJ;207.6;125.6;124.0205
1475;LINGUICA FRISA FRG KG;TRESMANN - STT;188.068;142.6;129.72270833333334
1526;QUEIJO VENEZA MUSSARELA C/PIMENTA CALABRESA KG;TRESMANN - SMJ;3.364;61.6;0.7024166666666667
1526;QUEIJO VENEZA MUSSARELA C/PIMENTA CALABRESA KG;TRESMANN - STT;7.07;61.0;2.3182916666666666
1526;QUEIJO VENEZA MUSSARELA C/PIMENTA CALABRESA KG;TRESMANN - VIX;7.968;59.8;5.486791666666667
10033;ACUCAR CRISTAL PAINEIRAS 15X2KG;TRESMANN - SMJ;0.0;721.6;36.083333333333336
10033;ACUCAR CRISTAL PAINEIRAS 15X2KG;TRESMANN - VIX;13.0;657.2;12.708333333333334
10033;ACUCAR CRISTAL PAINEIRAS 15X2KG;TRESMANN - STT;3.0;607.2;42.75
10034;ACUCAR CRISTAL PAINEIRAS 6X5KG;TRESMANN - STT;4.0;567.0;129.66666666666669
10034;ACUCAR CRISTAL PAINEIRAS 6X5KG;TRESMANN - VIX;3.0;688.4;2.833333333333333
10034;ACUCAR CRISTAL PAINEIRAS 6X5KG;TRESMANN - SMJ;20.0;722.6;144.95833333333331
10035;ACUCAR CRISTAL SANTA ISABEL 10X2KG;TRESMANN - SMJ;264.0;728.0;180.33333333333331
